hmc school,wikipedia link,postcode
"The Abbey School, Reading","https://en.wikipedia.org/wiki/The_Abbey_School,_Reading",RG1 5DZ
Abingdon School,https://en.wikipedia.org/wiki/Abingdon_School,OX14 1DE
Ackworth School,https://en.wikipedia.org/wiki/Ackworth_School,WF7 7LT
Arnold KEQMS,https://en.wikipedia.org/wiki/Arnold_KEQMS,FY8 1DT
Aldenham School,https://en.wikipedia.org/wiki/Aldenham_School,WD6 3AJ
Alleyn's School,https://en.wikipedia.org/wiki/Alleyn's_School,SE22 8SU
Ampleforth College,https://en.wikipedia.org/wiki/Ampleforth_College,YO62 4ER
Ardingly College,https://en.wikipedia.org/wiki/Ardingly_College,RH17 6SQ
Ashford School,https://en.wikipedia.org/wiki/Ashford_School,TN24 8PB
Ashville College,https://en.wikipedia.org/wiki/Ashville_College,HG2 9JP
Bablake School,https://en.wikipedia.org/wiki/Bablake_School,CV1 4AU
Bancroft's School,https://en.wikipedia.org/wiki/Bancroft's_School,IG8 0RF
Barnard Castle School,https://en.wikipedia.org/wiki/Barnard_Castle_School,DL12 8UN
Bedales School,https://en.wikipedia.org/wiki/Bedales_School,GU32 2DG
Bede's School,https://en.wikipedia.org/wiki/Bede's_School,BN27 3QH
Bedford School,https://en.wikipedia.org/wiki/Bedford_School,MK40 2TU
Bedford Modern School,https://en.wikipedia.org/wiki/Bedford_Modern_School,MK41 7NT
Benenden School,https://en.wikipedia.org/wiki/Benenden_School,TN17 4AA
Berkhamsted School,https://en.wikipedia.org/wiki/Berkhamsted_School,HP4 2BB
Birkdale School,https://en.wikipedia.org/wiki/Birkdale_School,S10 3DH
Birkenhead School,https://en.wikipedia.org/wiki/Birkenhead_School,CH43 2JD
Bishop's Stortford College,https://en.wikipedia.org/wiki/Bishop's_Stortford_College,CM23 2PJ
Bloxham School,https://en.wikipedia.org/wiki/Bloxham_School,OX15 4PE
Blundell's School,https://en.wikipedia.org/wiki/Blundell's_School,EX16 4DN
Bolton School,https://en.wikipedia.org/wiki/Bolton_School,BL1 4PA
Bootham School,https://en.wikipedia.org/wiki/Bootham_School,YO30 7BU
Bradfield College,https://en.wikipedia.org/wiki/Bradfield_College,RG7 6AU
Bradford Grammar School,https://en.wikipedia.org/wiki/Bradford_Grammar_School,BD9 4JP
Brentwood School,https://en.wikipedia.org/wiki/Brentwood_School,CM15 8EE
Brighton College,https://en.wikipedia.org/wiki/Brighton_College,BN2 0AL
Bristol Grammar School,https://en.wikipedia.org/wiki/Bristol_Grammar_School,BS8 1SR
Bromley High School,https://en.wikipedia.org/wiki/Bromley_High_School,BR1 2TW
Bromsgrove School,https://en.wikipedia.org/wiki/Bromsgrove_School,B61 7DU
Bryanston School,https://en.wikipedia.org/wiki/Bryanston_School,DT11 0PX
Bury Grammar School,https://en.wikipedia.org/wiki/Bury_Grammar_School,BL9 0HN
Canford School,https://en.wikipedia.org/wiki/Canford_School,BH21 3AD
Caterham School,https://en.wikipedia.org/wiki/Caterham_School,CR3 6YA
Charterhouse School,https://en.wikipedia.org/wiki/Charterhouse_School,GU7 2DX
Cheadle Hulme School,https://en.wikipedia.org/wiki/Cheadle_Hulme_School,SK8 6EF
Cheltenham College,https://en.wikipedia.org/wiki/Cheltenham_College,GL53 7LD
The Cheltenham Ladies' College,https://en.wikipedia.org/wiki/The_Cheltenham_Ladies'_College,GL50 3EP
Chetham's School of Music,https://en.wikipedia.org/wiki/Chetham's_School_of_Music,M3 1SB
Chigwell School,https://en.wikipedia.org/wiki/Chigwell_School,IG7 6QF
Christ's Hospital,https://en.wikipedia.org/wiki/Christ's_Hospital,RH13 0YP
Churcher's College,https://en.wikipedia.org/wiki/Churcher's_College,GU31 4AS
City of London Freemen's School,https://en.wikipedia.org/wiki/City_of_London_Freemen's_School,KT21 1ET
City of London School,https://en.wikipedia.org/wiki/City_of_London_School,EC4V 3AL
City of London School for Girls,https://en.wikipedia.org/wiki/City_of_London_School_for_Girls,EC2Y 8BB
Clayesmore School,https://en.wikipedia.org/wiki/Clayesmore_School,DT11 8LL
Clifton College,https://en.wikipedia.org/wiki/Clifton_College,BS8 3JH
Cokethorpe School,https://en.wikipedia.org/wiki/Cokethorpe_School,OX29 7PU
Colfe's School,https://en.wikipedia.org/wiki/Colfe's_School,SE12 8AW
Colston's School,https://en.wikipedia.org/wiki/Colston's_School,BS16 1BJ
Cranleigh School,https://en.wikipedia.org/wiki/Cranleigh_School,GU6 8QQ
Culford School,https://en.wikipedia.org/wiki/Culford_School,IP28 6TX
Dame Allan's School,https://en.wikipedia.org/wiki/Dame_Allan's_School,NE4 9YJ
Dauntsey's School,https://en.wikipedia.org/wiki/Dauntsey's_School,SN10 4HE
Dean Close School,https://en.wikipedia.org/wiki/Dean_Close_School,GL51 6HE
