Place,Region,County,Link,Link2,Geo Merge,latitude,longitude
Woodbridge,East,Suffolk,"https://en.wikipedia.org/wiki/Woodbridge,_Suffolk",https://en.wikipedia.org/wiki/Woodbridge,52.0935?N 1.3179?E,52.0935,1.3179
Cambridge,East,Cambridgeshire,"https://en.wikipedia.org/wiki/Cambridge,_Cambridgeshire",https://en.wikipedia.org/wiki/Cambridge,52.205?N 0.119?E,52.205,0.119
Aylsham,East,Norfolk,"https://en.wikipedia.org/wiki/Aylsham,_Norfolk",https://en.wikipedia.org/wiki/Aylsham,52.79?N 1.256?E,52.79,1.256
Bungay,East,Suffolk,"https://en.wikipedia.org/wiki/Bungay,_Suffolk",https://en.wikipedia.org/wiki/Bungay,52.4496?N 1.4477?E,52.4496,1.4477
Dedham,East,Essex,"https://en.wikipedia.org/wiki/Dedham,_Essex",https://en.wikipedia.org/wiki/Dedham,51.95888?N 0.99341?E,51.95888,0.99341
Ely,East,Cambridgeshire,"https://en.wikipedia.org/wiki/Ely,_Cambridgeshire",https://en.wikipedia.org/wiki/Ely,52.40?N 0.26?E,52.4,0.26
Felsted,East,Essex,"https://en.wikipedia.org/wiki/Felsted,_Essex",https://en.wikipedia.org/wiki/Felsted,51.856?N 0.436?E,51.856,0.436
Finchingfield,East,Essex,"https://en.wikipedia.org/wiki/Finchingfield,_Essex",https://en.wikipedia.org/wiki/Finchingfield,51.96747?N 0.44995?E,51.96747,0.44995
Framlingham,East,Suffolk,"https://en.wikipedia.org/wiki/Framlingham,_Suffolk",https://en.wikipedia.org/wiki/Framlingham,52.22207?N 1.34342?E,52.22207,1.34342
The Shelfords,East,Cambridgeshire,"https://en.wikipedia.org/wiki/The Shelfords,_Cambridgeshire",https://en.wikipedia.org/wiki/The Shelfords,"52.15038, 0.13575",52.15038, 0.13575
Hemingford Grey,East,Cambridgeshire,"https://en.wikipedia.org/wiki/Hemingford Grey,_Cambridgeshire",https://en.wikipedia.org/wiki/Hemingford Grey,52.318?N 0.104?W,52.318,-0.104
Norwich,East,Norfolk,"https://en.wikipedia.org/wiki/Norwich,_Norfolk",https://en.wikipedia.org/wiki/Norwich,52.6?N 1.3?E,52.6,1.3
Orford,East,Suffolk,"https://en.wikipedia.org/wiki/Orford,_Suffolk",https://en.wikipedia.org/wiki/Orford,52.095?N 1.534?E,52.095,1.534
Saffron Walden,East,Essex,"https://en.wikipedia.org/wiki/Saffron Walden,_Essex",https://en.wikipedia.org/wiki/Saffron Walden,52.022?N 0.243?E,52.022,0.243
Shenfield,East,Essex,"https://en.wikipedia.org/wiki/Shenfield,_Essex",https://en.wikipedia.org/wiki/Shenfield,51.6297?N 0.3192?E,51.6297,0.3192
Wells-next-the-Sea,East,Norfolk,"https://en.wikipedia.org/wiki/Wells-next-the-Sea,_Norfolk",https://en.wikipedia.org/wiki/Wells-next-the-Sea,52.95?N 0.85?E,52.95,0.85
Shipston-on-Stour,Midlands,Warwickshire,"https://en.wikipedia.org/wiki/Shipston-on-Stour,_Warwickshire",https://en.wikipedia.org/wiki/Shipston-on-Stour,52.060?N 1.623?W,52.06,-1.623
Stamford,Midlands,Lincolnshire,"https://en.wikipedia.org/wiki/Stamford,_Lincolnshire",https://en.wikipedia.org/wiki/Stamford,52.656?N 0.484?W,52.656,-0.484
Bishop’s Castle,Midlands,Shropshire,"https://en.wikipedia.org/wiki/Bishop’s Castle,_Shropshire",https://en.wikipedia.org/wiki/Bishop’s Castle,"52.493, -2.9978",52.493, -2.9978
Leamington Spa,Midlands,Warwickshire,"https://en.wikipedia.org/wiki/Leamington Spa,_Warwickshire",https://en.wikipedia.org/wiki/Leamington Spa,52.292?N 1.537?W,52.292,-1.537
Ledbury,Midlands,Herefordshire,"https://en.wikipedia.org/wiki/Ledbury,_Herefordshire",https://en.wikipedia.org/wiki/Ledbury,52.0339?N 2.4235?W,52.0339,-2.4235
Leek,Midlands,Staffordshire,"https://en.wikipedia.org/wiki/Leek,_Staffordshire",https://en.wikipedia.org/wiki/Leek,53.108?N 2.0234?W,53.108,-2.0234
Leominster,Midlands,Herefordshire,"https://en.wikipedia.org/wiki/Leominster,_Herefordshire",https://en.wikipedia.org/wiki/Leominster,52.2282?N 2.7385?W,52.2282,-2.7385
Moseley,Midlands,Birmingham,"https://en.wikipedia.org/wiki/Moseley,_Birmingham",https://en.wikipedia.org/wiki/Moseley,52.44671?N 1.88814?W,52.44671,-1.88814
Oakham,Midlands,Rutland,"https://en.wikipedia.org/wiki/Oakham,_Rutland",https://en.wikipedia.org/wiki/Oakham,52.6705?N 0.7333?W,52.6705,-0.7333
Oundle,Midlands,Northamptonshire,"https://en.wikipedia.org/wiki/Oundle,_Northamptonshire",https://en.wikipedia.org/wiki/Oundle,52.480?N 0.472?W,52.48,-0.472
Southwell,Midlands,Nottinghamshire,"https://en.wikipedia.org/wiki/Southwell,_Nottinghamshire",https://en.wikipedia.org/wiki/Southwell,53.07?N 0.95?W,53.07,-0.95
