NLC,Origin TLC,Station Name,Location for map,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority
5131,ABW,Abbey Wood,"SE2 9RH, UK",London,Greater London,Greenwich
3813,ABE,Aber,"CF83 1AQ, UK",Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili
3801,ACY,Abercynon,"CF45 4SE, UK",Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf
3982,ABA,Aberdare,"CF44 0PU, UK",Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf
8976,ABD,Aberdeen,"AB11 6LX, UK",Scotland,Aberdeen City,Aberdeen City
9090,AUR,Aberdour,"KY3 0SN, UK",Scotland,Fife,Fife
4435,AVY,Aberdovey,"LL35 0NR, UK",Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd
4440,ABH,Abererch,"LL53 6PJ, UK",Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd
3602,AGV,Abergavenny,"NP7 5HS, UK",Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy
2448,AGL,Abergele & Pensarn,"LL22 7PR, UK",Wales - Cymru,Conwy - Conwy,Conwy - Conwy
4303,AYW,Aberystwyth,"SY23 1LH, UK",Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion
2552,ACR,Accrington,"BB5 1QQ, UK",North West,Lancashire,Hyndburn
8600,AAT,Achanalt,"57.6097, -4.9137, UK",Scotland,Highland,Highland
8601,ACN,Achnasheen,"IV22 2EJ, UK",Scotland,Highland,Highland
8602,ACH,Achnashellach,"IV54 8YH, UK",Scotland,Highland,Highland
7662,ACK,Acklington,"NE65 4DE, UK",North East,Northumberland,Alnwick
7286,ACL,Acle,"NR13 3BZ, UK",East,Norfolk,Broadland
4529,ACG,Acocks Green,"B27 6EB, UK",West Midlands,West Midlands,Birmingham
2287,ACB,Acton Bridge,"CW8 2RE, UK",North West,Cheshire,Vale Royal
1404,ACC,Acton Central,"W3 0BH, UK",London,Greater London,Ealing
3000,AML,Acton Main Line,"W3 9EH, UK",London,Greater London,Ealing
1036,ADD,Adderley Park,"B9 4TG, UK",West Midlands,West Midlands,Birmingham
9310,ADW,Addiewell,"EH55 8NQ, UK",Scotland,West Lothian,West Lothian
5550,ASN,Addlestone,"KT15 2PB, UK",South East,Surrey,Runnymede
5160,ADM,Adisham,"CT3 3JE, UK",South East,Kent,Canterbury
2939,ADC,Adlington (Cheshire),"SK10 4NA, UK",North West,Cheshire,Macclesfield
2641,ADL,Adlington (Lancashire),"PR8 9RS, UK",North West,Lancashire,Chorley
8353,AWK,Adwick,"DN6 7AJ, UK",Yorkshire And The Humber,South Yorkshire,Doncaster
2255,AIG,Aigburth,"L17 6AG, UK",North West,Merseyside,Liverpool
2350,ANS,Ainsdale,"PR8 3HJ, UK",North West,Merseyside,Sefton
2125,AIN,Aintree,"L9 5BE, UK",North West,Merseyside,Sefton
9695,AIR,Airbles,"ML1 2SX, UK",Scotland,North Lanarkshire,North Lanarkshire
9759,ADR,Airdrie,"ML6 9EX, UK",Scotland,North Lanarkshire,North Lanarkshire
5132,AYP,Albany Park,"DA5 3HP, UK",London,Greater London,Bexley
4614,ALB,Albrighton,"WV7 3DS, UK",West Midlands,Shropshire,Bridgnorth
2760,ALD,Alderley Edge,"SK9 7QA, UK",North West,Cheshire,Macclesfield
3145,AMT,Aldermaston,"RG7 6PU, UK",South East,West Berkshire,West Berkshire
5623,AHT,Aldershot,"GU11 1HN, UK",South East,Hampshire,Rushmoor
5280,AGT,Aldrington,"BN3 5AE, UK",South East,Brighton And Hove,Brighton And Hove
6025,AAP,Alexandra Palace,"N22 7ST, UK",London,Greater London,Haringey
9905,AXP,Alexandra Parade,"G31 3JN, UK",Scotland,Glasgow City,Glasgow City
9861,ALX,Alexandria,"G83 0UL, UK",Scotland,West Dunbartonshire,West Dunbartonshire
1805,ALF,Alfreton,"DE5 7QJ, UK",East Midlands,Derbyshire,Amber Valley
7520,ALW,Allen's West,"TS16 0PF, UK",North East,Stockton-On-Tees,Stockton-On-Tees
9883,ALO,Alloa,"FK10 1BA , UK",Scotland,Clackmannan,Clackmannan
8605,ASS,Alness,"IV17 0SE, UK",Scotland,Highland,Highland
7787,ALM,Alnmouth,"NE66 2ST, UK",North East,Northumberland,Alnwick
6847,ALR,Alresford,"CO7 8AA, UK",East,Essex,Tendring
1223,ASG,Alsager,"ST7 2XW, UK",North West,Cheshire,Congleton
6869,ALN,Althorne,"CM3 6DG, UK",East,Essex,Maldon
6532,ALP,Althorpe,"DN17 3HL, UK",Yorkshire And The Humber,North Lincolnshire,North Lincolnshire
8606,ABC,Altnabreac,"KW12 6UR, UK",Scotland,Highland,Highland
