,tlc,station,latitude,longitude,time,time_hours,to,total_time
0,ABE,Aber [ABE],51.576010625740096,-3.22935164993397,2h37m,2.0,London Paddington [PAD],157.0
1,ACG,Acocks Green [ACG],52.44989592,-1.819370346,1h51m,1.0,London Euston [EUS],111.0
2,ACL,Acle [ACL],52.634735,1.54389,2h20m,2.0,London Liverpool Street [LST],140.0
3,ACR,Accrington [ACR],53.75316317,-2.370565582,2h51m,2.0,London Euston [EUS],171.0
4,ACT,Ascot (Berks) [ACT],51.40649,-0.675481,1h01m,0.0,London Paddington [PAD],56.0
5,ACY,Abercynon [ACY],51.643041,-3.329555,2h59m,2.0,London Paddington [PAD],179.0
6,ADC,Adlington (Cheshire) [ADC],53.319057,-2.1348512693672,2h15m,2.0,London Euston [EUS],135.0
7,ADD,Adderley Park [ADD],52.48066859,-1.8590738619999998,1h31m,1.0,London Euston [EUS],91.0
8,ADK,Ardwick [ADK],53.472103235998205,-2.215274,2h37m,2.0,London Euston [EUS],157.0
9,ADM,Adisham [ADM],51.2408502498839,1.1996524836559699,1h43m,1.0,London St Pancras International [STP],103.0
10,ADV,Andover [ADV],51.211618571398105,-1.490628,1h11m,1.0,London Waterloo [WAT],71.0
11,AFK,Ashford International [AFK],51.143721,0.876256,36m,0.0,London St Pancras International [STP],36.0
12,AFS,Ashford (Surrey) [AFS],51.436119410050104,-0.468213335617586,39m,0.0,London Waterloo [WAT],39.0
13,AFV,Ansdell & Fairhaven [AFV],53.74187958685061,-2.9976683032923996,3h27m,3.0,London Euston [EUS],207.0
14,AGL,Abergele & Pensarn [AGL],53.2940902128784,-3.58031,2h58m,2.0,London Euston [EUS],178.0
15,AGS,Argyle Street [AGS],55.858375192972495,-4.2583462288151095,4h51m,4.0,London Euston [EUS],291.0
16,AGT,Aldrington [AGT],50.83564983,-0.180199941,1h14m,1.0,London Victoria [VIC],74.0
17,AGV,Abergavenny [AGV],51.816401373693196,-3.01043828820638,2h25m,2.0,London Paddington [PAD],145.0
18,AHD,Ashtead [AHD],51.317625294631796,-0.306762820510857,42m,0.0,London Victoria [VIC],42.0
19,AHS,Ashurst (Kent) [AHS],51.127079,0.154094,1h00m,0.0,London Bridge [LBG],57.0
20,AHT,Aldershot [AHT],51.246374,-0.760105,1h05m,0.0,London Waterloo [WAT],47.0
21,AHV,Ash Vale [AHV],51.2720690640689,-0.7212806901649459,42m,0.0,London Waterloo [WAT],42.0
22,AIG,Aigburth [AIG],53.3657851220092,-2.92594913658328,2h37m,2.0,London Euston [EUS],157.0
23,AIN,Aintree [AIN],53.4736198647511,-2.9562135621007095,3h09m,3.0,London Euston [EUS],189.0
24,ALB,Albrighton [ALB],52.6360202924075,-2.27080910242345,2h34m,2.0,London Euston [EUS],154.0
25,ALD,Alderley Edge [ALD],53.30372342718571,-2.23684378505363,2h14m,2.0,London Euston [EUS],134.0
26,ALK,Aslockton [ALK],52.951216554851,-0.898329234068736,2h04m,2.0,London Kings Cross [KGX],124.0
27,ALN,Althorne (Essex) [ALN],51.64812288969271,0.752972,1h03m,1.0,London Liverpool Street [LST],63.0
28,ALR,Alresford (Essex) [ALR],51.8535078231056,0.9976072110270491,1h23m,1.0,London Liverpool Street [LST],83.0
29,ALV,Alvechurch [ALV],52.3473979,-1.966220899,2h15m,2.0,London Euston [EUS],135.0
30,ALW,Allens West [ALW],54.524448639926995,-1.36094944749966,2h49m,2.0,London Kings Cross [KGX],169.0
31,AMB,Ambergate [AMB],53.0604003374087,-1.47946033617552,2h07m,2.0,London St Pancras International [STP],127.0
32,AMF,Ammanford [AMF],51.795799598697606,-3.99575555679752,4h08m,4.0,London Paddington [PAD],248.0
33,AMR,Amersham [AMR],51.6747045949582,-0.608202615711351,35m,0.0,London Marylebone [MYB],35.0
34,AMT,Aldermaston [AMT],51.423726741915296,-1.17729961109755,52m,0.0,London Paddington [PAD],52.0
35,AMY,Amberley [AMY],50.896432,-0.542412,1h23m,1.0,London Victoria [VIC],83.0
36,ANC,Ancaster [ANC],52.98899129380649,-0.53441748113825,1h46m,1.0,London Kings Cross [KGX],106.0
37,ANF,Ashurst New Forest [ANF],50.879695958011,-1.524942,1h35m,1.0,London Waterloo [WAT],95.0
38,ANG,Angmering [ANG],50.81684026,-0.489257591,1h36m,1.0,London Victoria [VIC],96.0
