waitrose link,store name,postcode
http://www.waitrose.com/content/waitrose/en/bf_home/bf/683.html,Abergavenny,NP7 9LL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/211.html,Abingdon,OX14 3HL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/335.html,Admiral Park,GY1 2AL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/474.html,Alcester,B49 5DA
http://www.waitrose.com/content/waitrose/en/bf_home/bf/602.html,Alderley Edge,SK9 7JX
http://www.waitrose.com/content/waitrose/en/bf_home/bf/137.html,Allington Park,ME16 0PX
http://www.waitrose.com/content/waitrose/en/bf_home/bf/329.html,Alton ,GU34 2PZ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/494.html,Altrincham,WA14 5ZL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/578.html,Amersham,HP6 5DR
http://www.waitrose.com/content/waitrose/en/bf_home/bf/722.html,Ampthill,MK45 2LU
http://www.waitrose.com/content/waitrose/en/bf_home/bf/168.html,Andover,SP10 1LY
http://www.waitrose.com/content/waitrose/en/bf_home/bf/316.html,Ashbourne,DE6 1GF
http://www.waitrose.com/content/waitrose/en/bf_home/bf/705.html,Ashford,TN23 3RT
http://www.waitrose.com/content/waitrose/en/bf_home/bf/625.html,Aylesbury,HP20 1AL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/719.html,Balham,SW12 9BN
http://www.waitrose.com/content/waitrose/en/bf_home/bf/202.html,Banstead,SM7 2NB
http://www.waitrose.com/content/waitrose/en/bf_home/bf/732.html,Barbican,EC1Y 8NX
http://www.waitrose.com/content/waitrose/en/bf_home/bf/191.html,Barnet,EN5 5XY
http://www.waitrose.com/content/waitrose/en/bf_home/bf/688.html,Barry,CF63 2PE
http://www.waitrose.com/content/waitrose/en/bf_home/bf/193.html,Bath,BA1 5AL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/756.html,Bayswater,W2 6ES
http://www.waitrose.com/content/waitrose/en/bf_home/bf/177.html,Beaconsfield,HP9 2PW
http://www.waitrose.com/content/waitrose/en/bf_home/bf/212.html,Beckenham,BR3 1SD
http://www.waitrose.com/content/waitrose/en/bf_home/bf/725.html,Bedford,MK41 0UE
http://www.waitrose.com/content/waitrose/en/bf_home/bf/665.html,Belgravia,SW1X 8GG
http://www.waitrose.com/content/waitrose/en/bf_home/bf/223.html,Berkhamsted,HP4 1HS
http://www.waitrose.com/content/waitrose/en/bf_home/bf/240.html,Biggin Hill,TN16 3BB
http://www.waitrose.com/content/waitrose/en/bf_home/bf/229.html,Billericay,CM12 9BY
http://www.waitrose.com/content/waitrose/en/bf_home/bf/742.html,Birmingham-Colmore Row,B3 2BJ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/101.html,Bishops Stortford,CM23 2BA
http://www.waitrose.com/content/waitrose/en/bf_home/bf/141.html,Blaby,LE8 4DJ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/207.html,Bloomsbury,WC1N 1AF
http://www.waitrose.com/content/waitrose/en/bf_home/bf/493.html,Bluewater - JL Foodhall,DA9 9SA
http://www.waitrose.com/content/waitrose/en/bf_home/bf/797.html,Brackley,NN13 6BE
http://www.waitrose.com/content/waitrose/en/bf_home/bf/706.html,Bracknell,RG12 1RQ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/119.html,Brent Cross,NW4 3FQ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/475.html,Bridport,DT6 3QP
http://www.waitrose.com/content/waitrose/en/bf_home/bf/114.html,Brighton,BN1 2LA
http://www.waitrose.com/content/waitrose/en/bf_home/bf/158.html,Bromley,BR1 5AJ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/224.html,Bromley South,BR2 9HD
http://www.waitrose.com/content/waitrose/en/bf_home/bf/102.html,Buckhurst Hill,IG9 5EP
http://www.waitrose.com/content/waitrose/en/bf_home/bf/769.html,Buckingham,MK18 1RS
http://www.waitrose.com/content/waitrose/en/bf_home/bf/123.html,Burgess Hill,RH15 9NP
http://www.waitrose.com/content/waitrose/en/bf_home/bf/140.html,Bury St Edmunds,IP33 3DH
http://www.waitrose.com/content/waitrose/en/bf_home/bf/748.html,Buxton,SK17 6DF
http://www.waitrose.com/content/waitrose/en/bf_home/bf/308.html,Byres Road,G12 8AU
http://www.waitrose.com/content/waitrose/en/bf_home/bf/476.html,Caldicot,NP26 4UX
http://www.waitrose.com/content/waitrose/en/bf_home/bf/651.html,Cambridge,CB2 9FT
http://www.waitrose.com/content/waitrose/en/bf_home/bf/552.html,Cambridge- Fitzroy Street,CB1 1EW
http://www.waitrose.com/content/waitrose/en/bf_home/bf/664.html,Canary Wharf,E14 5EW
http://www.waitrose.com/content/waitrose/en/bf_home/bf/533.html,Canterbury,CT1 1UL
http://www.waitrose.com/content/waitrose/en/bf_home/bf/501.html,Cardiff- Queen Street,CF10 2AQ
http://www.waitrose.com/content/waitrose/en/bf_home/bf/178.html,Caterham,CR3 6LB
http://www.waitrose.com/content/waitrose/en/bf_home/bf/184.html,Caversham,RG4 8AY
http://www.waitrose.com/content/waitrose/en/bf_home/bf/668.html,Chandlers Ford,SO53 2LG
http://www.waitrose.com/content/waitrose/en/bf_home/bf/710.html,Cheadle Hulme,SK8 5AE
http://www.waitrose.com/content/waitrose/en/bf_home/bf/559.html,Cheam,SM3 8BD
http://www.waitrose.com/content/waitrose/en/bf_home/bf/663.html,Cheltenham,GL50 3QW
http://www.waitrose.com/content/waitrose/en/bf_home/bf/192.html,Chesham,HP5 1DR
